id,brand,price,start_time,start_day,end_time,end_day,trip_time,destination,hand_luggage,checked_baggage,crawl_date
PQC0187,Vietnam Airlines,1.114.884 VND/khách,05:40,07 thg 5,06:40,07 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
PQC0093,VietJet Air,1.146.000 VND/khách,14:05,07 thg 5,15:05,07 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0047,VietJet Air,1.283.000 VND/khách,09:20,07 thg 5,10:20,07 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0071,VietJet Air,1.283.000 VND/khách,11:35,07 thg 5,12:35,07 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0208,Vietnam Airlines,1.386.612 VND/khách,08:10,07 thg 5,08:55,07 thg 5,45m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
PQC0231,Vietnam Airlines,1.498.500 VND/khách,10:25,07 thg 5,11:25,07 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
PQC0274,Vietnam Airlines,1.505.493 VND/khách,15:05,07 thg 5,16:10,07 thg 5,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
PQC0256,Vietnam Airlines,1.793.205 VND/khách,13:05,07 thg 5,14:00,07 thg 5,55m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
PQC0329,Vietravel Airlines,967.575 VND/khách,17:25,08 thg 5,18:25,08 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0023,VietJet Air,1.037.000 VND/khách,05:55,08 thg 5,06:55,08 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0188,Vietnam Airlines,1.274.724 VND/khách,05:40,08 thg 5,06:40,08 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
PQC0094,VietJet Air,1.283.000 VND/khách,14:05,08 thg 5,15:05,08 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0115,VietJet Air,1.283.000 VND/khách,15:40,08 thg 5,16:40,08 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0038,VietJet Air,1.283.000 VND/khách,08:25,08 thg 5,09:30,08 thg 5,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0138,VietJet Air,1.283.000 VND/khách,17:10,08 thg 5,18:15,08 thg 5,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0155,VietJet Air,1.283.000 VND/khách,17:40,08 thg 5,18:45,08 thg 5,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0275,Vietnam Airlines,1.389.609 VND/khách,15:05,08 thg 5,16:10,08 thg 5,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
PQC0048,VietJet Air,1.399.000 VND/khách,09:20,08 thg 5,10:20,08 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0072,VietJet Air,1.399.000 VND/khách,11:35,08 thg 5,12:35,08 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0209,Vietnam Airlines,1.535.463 VND/khách,08:10,08 thg 5,08:55,08 thg 5,45m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
PQC0257,Vietnam Airlines,1.535.463 VND/khách,13:05,08 thg 5,14:00,08 thg 5,55m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
PQC0232,Vietnam Airlines,1.535.463 VND/khách,10:25,08 thg 5,11:25,08 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
PQC0007,Bamboo Airways,1.222.830 VND/khách,16:30,09 thg 5,17:30,09 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0330,Vietravel Airlines,1.147.125 VND/khách,17:25,09 thg 5,18:25,09 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0139,VietJet Air,1.283.000 VND/khách,17:10,09 thg 5,18:15,09 thg 5,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0024,VietJet Air,1.399.000 VND/khách,05:55,09 thg 5,06:55,09 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0116,VietJet Air,1.399.000 VND/khách,15:40,09 thg 5,16:40,09 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0309,Vietnam Airlines,1.479.205 VND/khách,20:20,09 thg 5,21:20,09 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
PQC0276,Vietnam Airlines,1.535.463 VND/khách,15:05,09 thg 5,16:10,09 thg 5,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
PQC0095,VietJet Air,1.567.000 VND/khách,14:05,09 thg 5,15:05,09 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0049,VietJet Air,1.682.000 VND/khách,09:20,09 thg 5,10:20,09 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0073,VietJet Air,1.682.000 VND/khách,11:35,09 thg 5,12:35,09 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
PQC0189,Vietnam Airlines,1.736.262 VND/khách,05:40,09 thg 5,06:40,09 thg 5,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
