id,brand,price,destination,trip_mins,is_holiday,days_left,start_hour_Afternoon,start_hour_EarlyMorning,start_hour_Evening,start_hour_LateNight,start_hour_Morning,end_hour_Afternoon,end_hour_EarlyMorning,end_hour_Evening,end_hour_LateNight,end_hour_Morning,hand_luggage_7,hand_luggage_10,hand_luggage_12,checked_baggage_0,checked_baggage_20,checked_baggage_23
PQC0048,VietJet Air,1396000.0,PQC,60,0,6,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0072,VietJet Air,1396000.0,PQC,60,0,6,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0139,VietJet Air,1281000.0,PQC,65,1,7,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0024,VietJet Air,1396000.0,PQC,60,1,7,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0116,VietJet Air,1396000.0,PQC,60,1,7,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0095,VietJet Air,1564000.0,PQC,60,1,7,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0049,VietJet Air,1679000.0,PQC,60,1,7,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0073,VietJet Air,1679000.0,PQC,60,1,7,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0140,VietJet Air,1142000.0,PQC,65,1,8,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0025,VietJet Air,1280000.0,PQC,60,1,8,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0096,VietJet Air,1280000.0,PQC,60,1,8,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0117,VietJet Air,1280000.0,PQC,60,1,8,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0074,VietJet Air,1396000.0,PQC,60,1,8,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0050,VietJet Air,1563000.0,PQC,60,1,8,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0141,VietJet Air,815000.0,PQC,65,1,9,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0118,VietJet Air,816000.0,PQC,60,1,9,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0026,VietJet Air,1035000.0,PQC,60,1,9,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0051,VietJet Air,1143000.0,PQC,60,1,9,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0075,VietJet Air,1143000.0,PQC,60,1,9,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
