,brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,hand_luggage,checked_baggage,crawl_date,source_file,destination,id
91,VietJet Air,1739997,10:25,2025-05-04,2025-05-04,11:50,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0114
92,Vietnam Airlines,1950169,16:40,2025-05-04,2025-05-04,18:05,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0638
93,Vietnam Airlines,1950169,19:35,2025-05-04,2025-05-04,21:00,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0713
94,Vietnam Airlines,1950169,21:15,2025-05-04,2025-05-04,22:40,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0753
95,Vietnam Airlines,1950169,22:00,2025-05-04,2025-05-04,23:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0756
96,Vietnam Airlines,1950169,19:35,2025-05-04,2025-05-04,21:05,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0714
97,Bamboo Airways,2104002,06:30,2025-05-04,2025-05-04,07:55,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0004
98,Vietnam Airlines,2107224,12:15,2025-05-04,2025-05-04,13:40,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0534
99,Vietnam Airlines,2107224,15:40,2025-05-04,2025-05-04,17:05,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0609
100,Vietnam Airlines,2107224,06:55,2025-05-04,2025-05-04,08:25,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0394
101,Vietnam Airlines,2265316,13:25,2025-05-04,2025-05-04,14:50,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0580
102,Vietnam Airlines,2265316,16:00,2025-05-04,2025-05-04,17:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0615
103,Vietnam Airlines,2265316,18:40,2025-05-04,2025-05-04,20:05,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0671
104,Vietnam Airlines,2410929,05:45,2025-05-04,2025-05-04,07:10,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0376
105,Vietnam Airlines,2410929,10:00,2025-05-04,2025-05-04,11:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0477
106,Vietnam Airlines,2410929,11:00,2025-05-04,2025-05-04,12:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0503
107,Vietravel Airlines,2511705,21:05,2025-05-04,2025-05-04,22:25,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0764
108,Vietnam Airlines,2546141,09:10,2025-05-04,2025-05-04,10:25,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0462
109,Vietnam Airlines,2546141,09:05,2025-05-04,2025-05-04,10:30,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0439
