,brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,hand_luggage,checked_baggage,crawl_date,source_file,destination,id
59,Vietnam Airlines,1274724,15:05,2025-05-05,2025-05-05,16:10,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0272
60,VietJet Air,1284000,09:20,2025-05-05,2025-05-05,10:20,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0045
61,VietJet Air,1284000,11:35,2025-05-05,2025-05-05,12:35,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0069
62,Vietnam Airlines,1389609,13:05,2025-05-05,2025-05-05,14:00,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0254
63,Vietnam Airlines,1535463,10:25,2025-05-05,2025-05-05,11:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0229
64,Vietnam Airlines,1774224,08:10,2025-05-05,2025-05-05,08:55,45m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0206
67,Vietravel Airlines,903059,17:25,2025-05-06,2025-05-06,18:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0327
68,VietJet Air,1037000,05:55,2025-05-06,2025-05-06,06:55,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0021
69,VietJet Air,1037000,15:40,2025-05-06,2025-05-06,16:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0113
70,VietJet Air,1037000,17:10,2025-05-06,2025-05-06,18:15,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0136
71,Vietnam Airlines,1129869,05:40,2025-05-06,2025-05-06,06:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0186
72,VietJet Air,1146000,11:30,2025-05-06,2025-05-06,12:30,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0064
73,VietJet Air,1146000,11:35,2025-05-06,2025-05-06,12:35,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0070
74,VietJet Air,1146000,14:05,2025-05-06,2025-05-06,15:05,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0092
75,Vietnam Airlines,1270728,15:05,2025-05-06,2025-05-06,16:10,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0273
76,VietJet Air,1284000,09:20,2025-05-06,2025-05-06,10:20,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0046
77,Vietnam Airlines,1338660,08:10,2025-05-06,2025-05-06,08:55,45m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0207
78,Vietnam Airlines,1502496,10:25,2025-05-06,2025-05-06,11:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=06-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0230
