,id,brand,price,start_time,start_day,end_time,end_day,trip_time,hand_luggage,checked_baggage,crawl_date,destination
91,PQC0071,VietJet Air,1.283.000 VND/khách,11:35,2025-05-07,12:35,2025-05-07,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
92,PQC0208,Vietnam Airlines,1.386.612 VND/khách,08:10,2025-05-07,08:55,2025-05-07,45m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
93,PQC0231,Vietnam Airlines,1.498.500 VND/khách,10:25,2025-05-07,11:25,2025-05-07,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
94,PQC0274,Vietnam Airlines,1.505.493 VND/khách,15:05,2025-05-07,16:10,2025-05-07,1h 5m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
95,PQC0256,Vietnam Airlines,1.793.205 VND/khách,13:05,2025-05-07,14:00,2025-05-07,55m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
98,PQC0329,Vietravel Airlines,967.575 VND/khách,17:25,2025-05-08,18:25,2025-05-08,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
99,PQC0023,VietJet Air,1.037.000 VND/khách,05:55,2025-05-08,06:55,2025-05-08,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
100,PQC0188,Vietnam Airlines,1.274.724 VND/khách,05:40,2025-05-08,06:40,2025-05-08,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
101,PQC0094,VietJet Air,1.283.000 VND/khách,14:05,2025-05-08,15:05,2025-05-08,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
102,PQC0115,VietJet Air,1.283.000 VND/khách,15:40,2025-05-08,16:40,2025-05-08,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
103,PQC0038,VietJet Air,1.283.000 VND/khách,08:25,2025-05-08,09:30,2025-05-08,1h 5m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
104,PQC0138,VietJet Air,1.283.000 VND/khách,17:10,2025-05-08,18:15,2025-05-08,1h 5m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
105,PQC0155,VietJet Air,1.283.000 VND/khách,17:40,2025-05-08,18:45,2025-05-08,1h 5m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
106,PQC0275,Vietnam Airlines,1.389.609 VND/khách,15:05,2025-05-08,16:10,2025-05-08,1h 5m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
107,PQC0048,VietJet Air,1.399.000 VND/khách,09:20,2025-05-08,10:20,2025-05-08,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
108,PQC0072,VietJet Air,1.399.000 VND/khách,11:35,2025-05-08,12:35,2025-05-08,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
109,PQC0209,Vietnam Airlines,1.535.463 VND/khách,08:10,2025-05-08,08:55,2025-05-08,45m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
110,PQC0257,Vietnam Airlines,1.535.463 VND/khách,13:05,2025-05-08,14:00,2025-05-08,55m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
111,PQC0232,Vietnam Airlines,1.535.463 VND/khách,10:25,2025-05-08,11:25,2025-05-08,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
115,PQC0007,Bamboo Airways,1.222.830 VND/khách,16:30,2025-05-09,17:30,2025-05-09,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
116,PQC0330,Vietravel Airlines,1.147.125 VND/khách,17:25,2025-05-09,18:25,2025-05-09,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
117,PQC0139,VietJet Air,1.283.000 VND/khách,17:10,2025-05-09,18:15,2025-05-09,1h 5m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
118,PQC0024,VietJet Air,1.399.000 VND/khách,05:55,2025-05-09,06:55,2025-05-09,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
119,PQC0116,VietJet Air,1.399.000 VND/khách,15:40,2025-05-09,16:40,2025-05-09,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
120,PQC0309,Vietnam Airlines,1.479.205 VND/khách,20:20,2025-05-09,21:20,2025-05-09,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
121,PQC0276,Vietnam Airlines,1.535.463 VND/khách,15:05,2025-05-09,16:10,2025-05-09,1h 5m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
122,PQC0095,VietJet Air,1.567.000 VND/khách,14:05,2025-05-09,15:05,2025-05-09,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
123,PQC0049,VietJet Air,1.682.000 VND/khách,09:20,2025-05-09,10:20,2025-05-09,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
124,PQC0073,VietJet Air,1.682.000 VND/khách,11:35,2025-05-09,12:35,2025-05-09,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
125,PQC0189,Vietnam Airlines,1.736.262 VND/khách,05:40,2025-05-09,06:40,2025-05-09,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
126,PQC0249,Vietnam Airlines,1.736.262 VND/khách,13:00,2025-05-09,14:00,2025-05-09,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
127,PQC0233,Vietnam Airlines,1.860.970 VND/khách,10:25,2025-05-09,11:25,2025-05-09,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
128,PQC0210,Vietnam Airlines,2.004.993 VND/khách,08:10,2025-05-09,08:55,2025-05-09,45m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
