id,brand,price,start_hour,end_hour,trip_minutes,destination,hand_luggage,checked_baggage,is_holiday,days_left
HAN0124,Vietnam Airlines,1171827,17,18,55,HAN,10.0,23.0,0,1
HAN0154,Vietnam Airlines,1021977,5,6,55,HAN,10.0,0.0,0,2
HAN0173,Vietnam Airlines,1021977,8,9,55,HAN,10.0,0.0,0,2
HAN0125,Vietnam Airlines,1479368,17,18,55,HAN,10.0,23.0,0,2
HAN0104,Vietnam Airlines,1679319,10,11,55,HAN,10.0,23.0,0,2
HAN0051,VietJet Air,1876298,9,10,55,HAN,7.0,0.0,0,2
HAN0006,Bamboo Airways,826753,16,17,55,HAN,7.0,0.0,0,3
HAN0052,VietJet Air,813960,9,10,55,HAN,7.0,0.0,0,3
HAN0174,Vietnam Airlines,1254653,8,9,55,HAN,10.0,23.0,0,3
HAN0126,Vietnam Airlines,1411137,17,18,55,HAN,10.0,23.0,0,3
HAN0053,VietJet Air,1301738,9,10,55,HAN,7.0,0.0,0,4
HAN0155,Vietnam Airlines,1507491,5,6,55,HAN,10.0,23.0,0,4
HAN0175,Vietnam Airlines,1507491,8,9,55,HAN,10.0,23.0,0,4
HAN0106,Vietnam Airlines,1766232,10,11,55,HAN,10.0,23.0,0,4
HAN0127,Vietnam Airlines,1856142,17,18,55,HAN,10.0,23.0,0,4
HAN0007,Bamboo Airways,826753,16,17,55,HAN,7.0,0.0,1,5
HAN0054,VietJet Air,1156103,9,10,55,HAN,7.0,0.0,1,5
HAN0128,Vietnam Airlines,1250748,17,18,55,HAN,10.0,23.0,1,5
HAN0055,VietJet Air,806978,9,10,55,HAN,7.0,0.0,1,6
HAN0156,Vietnam Airlines,1021977,5,6,55,HAN,10.0,0.0,1,6
HAN0177,Vietnam Airlines,1167831,8,9,55,HAN,10.0,23.0,1,6
HAN0108,Vietnam Airlines,1167831,10,11,55,HAN,10.0,23.0,1,6
HAN0129,Vietnam Airlines,1167831,17,18,55,HAN,10.0,23.0,1,6
HAN0028,VietJet Air,829920,10,10,50,HAN,7.0,0.0,0,1
HAN0154,Vietnam Airlines,1018980,5,6,55,HAN,10.0,0.0,0,1
HAN0173,Vietnam Airlines,1018980,8,9,55,HAN,10.0,0.0,0,1
HAN0104,Vietnam Airlines,1675323,10,11,55,HAN,10.0,23.0,0,1
HAN0125,Vietnam Airlines,1675323,17,18,55,HAN,10.0,23.0,0,1
HAN0006,Bamboo Airways,1376831,16,17,55,HAN,7.0,0.0,0,1
HAN0052,VietJet Air,840893,9,10,55,HAN,7.0,0.0,0,1
HAN0174,Vietnam Airlines,1396602,8,9,55,HAN,10.0,23.0,0,1
HAN0126,Vietnam Airlines,1797201,17,18,55,HAN,10.0,23.0,0,1
HAN0053,VietJet Air,1297748,9,10,55,HAN,7.0,0.0,0,2
HAN0155,Vietnam Airlines,1501497,5,6,55,HAN,10.0,23.0,0,2
HAN0175,Vietnam Airlines,1759239,8,9,55,HAN,10.0,23.0,0,2
HAN0106,Vietnam Airlines,1849149,10,11,55,HAN,10.0,23.0,0,2
HAN0007,Bamboo Airways,782244,16,17,55,HAN,7.0,0.0,1,3
HAN0054,VietJet Air,1158047,9,10,55,HAN,7.0,0.0,1,3
HAN0128,Vietnam Airlines,1250748,17,18,55,HAN,10.0,23.0,1,3
HAN0055,VietJet Air,819284,9,10,55,HAN,7.0,0.0,1,4
